Base_Title,Distinct_Name_Count,Total_Global_Sales,StandaloneLabel
Call of Duty,20,252.07,Franchise
Pokemon,25,191.76,Franchise
Grand Theft Auto,11,157.8,Franchise
Madden NFL,21,122.83,Franchise
FIFA Soccer,15,84.72,Franchise
Wii Sports,1,82.53,Standalone
FIFA,11,78.61,Franchise
Assassin's Creed,12,77.99,Franchise
Super Mario Bros.,4,77.9,Franchise
The Legend of Zelda,20,76.5,Franchise
Final Fantasy,26,70.0,Franchise
The Sims,41,64.72,Franchise
Halo,9,63.19,Franchise
Gran Turismo,6,61.01,Franchise
Guitar Hero,12,58.14,Franchise
NBA 2K,15,55.79,Franchise
Battlefield,12,53.59,Franchise
Just Dance,13,53.52,Franchise
Need for Speed,12,51.2,Franchise
Star Wars,26,48.58,Franchise
Resident Evil,18,48.34,Franchise
Mario Kart,5,42.04,Franchise
New Super Mario Bros.,2,39.7,Franchise
Metal Gear Solid,20,37.39,Franchise
LEGO Star Wars,4,37.07,Franchise
Tetris,2,36.82,Franchise
Brain Age,3,35.53,Franchise
Mario Kart Wii,1,35.52,Standalone
Dragon Quest,13,34.74,Franchise
Super Mario Land,3,34.51,Franchise
Batman,13,33.44,Franchise
Medal of Honor,11,33.24,Franchise
Super Mario World,2,33.1,Franchise
Wii Sports Resort,1,32.77,Standalone
Animal Crossing,6,32.52,Franchise
NCAA Football,17,32.46,Franchise
Dragon Ball Z,34,32.44,Franchise
Crash Bandicoot,6,31.86,Franchise
The Elder Scrolls,3,31.74,Franchise
NBA Live,18,31.45,Franchise
Spider-Man,12,31.21,Franchise
Fallout,4,30.97,Franchise
Mario Party,12,30.08,Franchise
Mortal Kombat,12,29.9,Franchise
Uncharted,6,29.85,Franchise
Wii Play,2,29.84,Franchise
Tony Hawk's Pro Skater,5,29.34,Franchise
New Super Mario Bros. Wii,1,28.32,Standalone
Duck Hunt,1,28.31,Standalone
Tiger Woods PGA Tour,16,28.27,Franchise
Tomb Raider,9,27.86,Franchise
Tekken,6,27.82,Franchise
Pro Evolution Soccer,9,27.74,Franchise
Minecraft,2,27.07,Franchise
Donkey Kong Country,6,25.71,Franchise
Gears of War,6,25.27,Franchise
Nintendogs,1,24.67,Standalone
Mario Kart DS,1,23.21,Standalone
NHL,21,23.21,Franchise
Wii Fit,1,22.7,Standalone
Far Cry,5,22.6,Franchise
Super Mario,1,22.19,Standalone
Kinect Adventures!,1,21.81,Standalone
Wii Fit Plus,1,21.79,Standalone
Need for Speed Underground,2,21.41,Franchise
God of War,7,20.95,Franchise
Imagine,36,20.02,Franchise
LEGO Batman,2,19.51,Franchise
The Lord of the Rings,9,19.31,Franchise
Forza Motorsport,7,19.2,Franchise
Super Mario Galaxy,2,18.86,Franchise
MLB,19,18.73,Franchise
Tom Clancy's Rainbow Six,9,18.54,Franchise
Midnight Club,7,18.21,Franchise
Kingdom Hearts,5,17.77,Franchise
Dynasty Warriors,21,17.6,Franchise
LEGO Indiana Jones,2,17.03,Franchise
Tom Clancy's Splinter Cell,7,16.92,Franchise
Ratchet & Clank,10,16.85,Franchise
Destiny,3,16.75,Franchise
World of Warcraft,7,16.39,Franchise
Saints Row,5,16.29,Franchise
Rock Band,5,16.09,Franchise
James Bond,5,15.75,Franchise
Borderlands,5,15.62,Franchise
SOCOM,10,15.42,Franchise
Cooking Mama,8,15.33,Franchise
SpongeBob SquarePants,11,15.3,Franchise
Spyro,8,15.25,Franchise
Red Dead Redemption,2,15.02,Franchise
Sonic the Hedgehog,3,14.81,Franchise
Street Fighter,4,14.66,Franchise
Pokémon Yellow,1,14.64,Standalone
Cars,4,14.44,Franchise
Transformers,16,14.31,Franchise
Diablo,4,14.3,Franchise
LittleBigPlanet,3,14.29,Franchise
Mass Effect,3,14.22,Franchise
NASCAR,12,14.03,Franchise
Namco Museum,4,13.93,Franchise
