major,group_label,avg_net_roi,num_grads
biology,High_Achiever,162839.0,429
biology,Minimalist,95534.0,359
business,High_Achiever,308669.0,592
business,Minimalist,198432.0,277
business_analytics,High_Achiever,593444.0,581
business_analytics,Minimalist,441903.0,262
chemical_engineering,High_Achiever,589851.0,573
chemical_engineering,Minimalist,412914.0,270
communications,High_Achiever,91560.0,448
communications,Minimalist,35520.0,359
computer_engineering,High_Achiever,536292.0,553
computer_engineering,Minimalist,429204.0,285
computer_science,High_Achiever,568989.0,557
computer_science,Minimalist,419237.0,252
criminal_justice,High_Achiever,62178.0,324
criminal_justice,Minimalist,1592.0,292
economics,High_Achiever,485939.0,517
economics,Minimalist,381180.0,246
education,High_Achiever,33506.0,306
education,Minimalist,-21768.0,292
electrical_engineering,High_Achiever,649944.0,558
electrical_engineering,Minimalist,489568.0,276
finance,High_Achiever,403352.0,564
finance,Minimalist,262179.0,263
fine_arts,High_Achiever,-28281.0,351
fine_arts,Minimalist,-64212.0,278
humanities,High_Achiever,3848.0,351
humanities,Minimalist,-37080.0,263
marketing,High_Achiever,180223.0,417
marketing,Minimalist,99811.0,337
mechanical_engineering,High_Achiever,457684.0,597
mechanical_engineering,Minimalist,344720.0,250
nursing,High_Achiever,398159.0,535
nursing,Minimalist,288565.0,229
psychology,High_Achiever,21514.0,347
psychology,Minimalist,-35475.0,285
social_work,High_Achiever,22654.0,327
social_work,Minimalist,-25955.0,299
