major,avg_ROI_percent,avg_salary,num_grads
electrical_engineering,759.0,105063.0,1621
business_analytics,676.0,97377.0,1708
chemical_engineering,667.0,97379.0,1626
computer_science,658.0,96675.0,1628
computer_engineering,641.0,94172.0,1659
economics,567.0,89359.0,1580
mechanical_engineering,548.0,87533.0,1635
finance,453.0,79838.0,1676
nursing,451.0,80186.0,1589
business,354.0,71688.0,1694
marketing,191.0,59440.0,1703
biology,181.0,58346.0,1735
communications,98.0,51726.0,1788
criminal_justice,60.0,48819.0,1376
education,25.0,45944.0,1352
social_work,19.0,45528.0,1396
psychology,14.0,44983.0,1429
humanities,-7.0,43579.0,1410
fine_arts,-40.0,40885.0,1395
