major,avg_total_cost,avg_salary,years_to_pay_back,num_students
electrical_engineering,90013.0,105063.0,0.856752615097608,1621
business_analytics,88230.0,97377.0,0.906066114174805,1708
chemical_engineering,88599.0,97379.0,0.909836823134351,1626
computer_science,88997.0,96675.0,0.920579260408586,1628
computer_engineering,87920.0,94172.0,0.93361083974005,1659
economics,89375.0,89359.0,1.00017905303327,1580
mechanical_engineering,87815.0,87533.0,1.00322164212354,1635
finance,87433.0,79838.0,1.09513013853052,1676
nursing,89832.0,80186.0,1.12029531339635,1589
business,87600.0,71688.0,1.22196183461667,1694
marketing,88524.0,59440.0,1.4893001345895,1703
biology,88062.0,58346.0,1.50930655057759,1735
communications,89600.0,51726.0,1.7322043073116,1788
criminal_justice,88676.0,48819.0,1.81642393330466,1376
education,88637.0,45944.0,1.92923994427999,1352
social_work,89205.0,45528.0,1.95934370057986,1396
psychology,88463.0,44983.0,1.9665873774537,1429
humanities,89039.0,43579.0,2.04316299134904,1410
fine_arts,87935.0,40885.0,2.15078879784762,1395
